stim_id,superordinate,np,adj,response,response_hand_lemma
39,boats,sailboat,loud,sound,sounds
39,boats,sailboat,loud,sounds,sounds
39,boats,sailboat,quiet,motors,motors
39,boats,sailboat,quiet,places,places
40,guitars,acoustic guitar,loud,inatruments,instruments
40,guitars,acoustic guitar,loud,instruments,instruments
40,guitars,acoustic guitar,loud,music,music
40,guitars,acoustic guitar,loud,musical instruments,musical instruments
40,guitars,acoustic guitar,loud,sounds,sounds
40,guitars,acoustic guitar,quiet,instruments,instruments
40,guitars,bass guitar,loud,instruments,instruments
40,guitars,bass guitar,loud,musical instruments,musical instruments
40,guitars,bass guitar,loud,sounds,sounds
40,guitars,bass guitar,quiet,instruments,instruments
40,guitars,bass guitar,quiet,music,music
40,guitars,bass guitar,quiet,musical instruments,musical instruments
40,guitars,bass guitar,quiet,stringed instruments,string instruments
40,guitars,ukelele,loud,instruents,instruments
40,guitars,ukelele,loud,instruments,instruments
40,guitars,ukelele,loud,instruments.,instruments
40,guitars,ukelele,loud,music,music
40,guitars,ukelele,loud,musical instruments,musical instruments
40,guitars,ukelele,loud,string instruments,string instruments
40,guitars,ukelele,quiet,instruments,instruments
40,guitars,ukelele,quiet,instruments.,instruments
40,guitars,ukelele,quiet,instuments,instruments
40,guitars,ukelele,quiet,music,music
40,guitars,ukelele,quiet,musical instruments,musical instruments
40,guitars,ukelele,quiet,string instuments,string instruments
41,statues,bronze,cheap,decorations,decoration
41,statues,bronze,cheap,materials,materials
41,statues,bronze,cheap,metal,metal
41,statues,bronze,expensive,decorations,decoration
41,statues,bronze,expensive,items in the shop,items in the shop
41,statues,bronze,expensive,metals,metal
41,statues,plastic,cheap,decor,decoration
41,statues,plastic,cheap,decorations,decoration
41,statues,plastic,cheap,decors,decoration
41,statues,plastic,cheap,materials,materials
41,statues,plastic,expensive,decor,decoration
41,statues,plastic,expensive,decorations,decoration
41,statues,platinum,cheap,decor,decoration
41,statues,platinum,cheap,decorations,decoration
41,statues,platinum,cheap,materials,materials
41,statues,platinum,cheap,metals,metal
