stim_id,superordinate,np,adj,response,response_hand_lemma,label
32,venues,library,noisy,rooms,room,intermediate
32,venues,library,noisy,saturday nights,saturday night,diff
32,venues,library,quiet,buildings,buildings,super
32,venues,library,quiet,locations,locations,supersuper
32,venues,library,quiet,places,places,supersuper
32,venues,library,quiet,rooms,room,intermediate
32,venues,restaurant,noisy,places,places,supersuper
32,venues,restaurant,quiet,nights,night,diff
32,venues,restaurant,quiet,places,places,supersuper
32,venues,restaurant,quiet,rooms,room,intermediate
32,venues,restaurant,quiet,saturday nights,saturday night,diff
33,birds,crow,loud,animals,animals,supersuper
33,birds,crow,loud,bird sounds,bird sounds,super
33,birds,crow,loud,sound,sounds,scale
33,birds,crow,loud,sounds,sounds,scale
33,birds,crow,quiet,sounds,sounds,scale
33,birds,finch,loud,animals,animals,supersuper
33,birds,finch,loud,noises,noise,scale
33,birds,finch,loud,sounds,sounds,scale
33,birds,finch,quiet,animals,animals,supersuper
33,birds,rooster,loud,animals,animals,supersuper
33,birds,rooster,loud,noises,noise,scale
33,birds,rooster,loud,sounds,sounds,scale
33,birds,rooster,quiet,animals,animals,supersuper
33,birds,rooster,quiet,sounds,sounds,scale
34,instruments,guitar,loud,music,music,diff
34,instruments,guitar,loud,noise,noise,scale
34,instruments,guitar,loud,noises,noise,scale
34,instruments,guitar,loud,sounds,sounds,scale
34,instruments,guitar,quiet,music,music,diff
34,instruments,guitar,quiet,sounds,sounds,scale
34,instruments,harp,loud,noises,noise,scale
34,instruments,harp,loud,sounds,sounds,scale
34,instruments,harp,quiet,music,music,diff
34,instruments,harp,quiet,sounds,sounds,scale
34,instruments,horn,loud,noises,noise,scale
34,instruments,horn,loud,sounds,sounds,scale
34,instruments,horn,quiet,music,music,diff
35,people,adult,loud,noises,noise,scale
35,people,baby,loud,noises,noise,scale
35,people,teenager,quiet,noises,noise,scale
36,places,city,noisy,towns,towns,intermediate
36,places,town,quiet,cities,city,intermediate
36,places,village,noisy,towns,towns,intermediate
36,places,village,quiet,cities,city,intermediate
36,places,village,quiet,towns,towns,intermediate
37,vehicles,car,loud,sound,sounds,scale
37,vehicles,electric car,loud,car,cars,intermediate
37,vehicles,electric car,loud,cars,cars,intermediate
37,vehicles,electric car,quiet,car,cars,intermediate
37,vehicles,electric car,quiet,cars,cars,intermediate
37,vehicles,tractor,loud,sound,sounds,scale
37,vehicles,tractor,loud,sounds,sounds,scale
38,birds,mockingbird,loud,noises,noise,scale
38,birds,mockingbird,loud,sounds,sounds,scale
38,birds,mockingbird,quiet,sounds in the forest,sounds in the forest,supersuper
38,birds,owl,loud,animals,animals,supersuper
38,birds,owl,loud,sounds in the forest,sounds in the forest,supersuper
38,birds,owl,quiet,animals,animals,supersuper
38,birds,owl,quiet,sounds in the forest,sounds in the forest,supersuper
38,birds,woodpecker,loud,noises,noise,scale
38,birds,woodpecker,loud,sounds,sounds,scale
38,birds,woodpecker,loud,sounds in the forest,sounds in the forest,supersuper
38,birds,woodpecker,quiet,noises,noise,scale
38,birds,woodpecker,quiet,sounds,sounds,scale
39,boats,powerboat,loud,motors,motors,supersuper
39,boats,powerboat,loud,sounds,sounds,scale
39,boats,rowboat,loud,sounds,sounds,scale
39,boats,rowboat,quiet,motors,motors,supersuper
39,boats,sailboat,loud,sound,sounds,scale
39,boats,sailboat,loud,sounds,sounds,scale
39,boats,sailboat,quiet,motors,motors,supersuper
40,guitars,acoustic guitar,loud,inatruments,instruments,supersuper
40,guitars,acoustic guitar,loud,instruments,instruments,supersuper
40,guitars,acoustic guitar,loud,music,music,diff
40,guitars,acoustic guitar,loud,musical instruments,musical instruments,supersuper
40,guitars,acoustic guitar,loud,sounds,sounds,scale
40,guitars,acoustic guitar,quiet,instruments,instruments,supersuper
40,guitars,bass guitar,loud,instruments,instruments,supersuper
40,guitars,bass guitar,loud,musical instruments,musical instruments,supersuper
40,guitars,bass guitar,loud,sounds,sounds,scale
40,guitars,bass guitar,quiet,instruments,instruments,supersuper
40,guitars,bass guitar,quiet,music,music,diff
40,guitars,bass guitar,quiet,musical instruments,musical instruments,supersuper
40,guitars,bass guitar,quiet,stringed instruments,string instruments,supersuper
40,guitars,ukelele,loud,instruents,instruments,supersuper
40,guitars,ukelele,loud,instruments,instruments,supersuper
40,guitars,ukelele,loud,instruments.,instruments,supersuper
40,guitars,ukelele,loud,music,music,diff
40,guitars,ukelele,loud,musical instruments,musical instruments,supersuper
40,guitars,ukelele,loud,string instruments,string instruments,supersuper
40,guitars,ukelele,quiet,instruments,instruments,supersuper
40,guitars,ukelele,quiet,instruments.,instruments,supersuper
40,guitars,ukelele,quiet,instuments,instruments,supersuper
40,guitars,ukelele,quiet,music,music,diff
40,guitars,ukelele,quiet,musical instruments,musical instruments,supersuper
40,guitars,ukelele,quiet,string instuments,string instruments,supersuper
41,statues,bronze,cheap,decorations,decoration,supersuper
41,statues,bronze,cheap,materials,materials,super
41,statues,bronze,cheap,metal,metal,intermediate
41,statues,bronze,expensive,decorations,decoration,supersuper
41,statues,bronze,expensive,items in the shop,items in the shop,supersuper
41,statues,bronze,expensive,metals,metal,intermediate
41,statues,plastic,cheap,decor,decoration,supersuper
41,statues,plastic,cheap,decorations,decoration,supersuper
41,statues,plastic,cheap,decors,decoration,supersuper
41,statues,plastic,cheap,materials,materials,super
41,statues,plastic,expensive,decor,decoration,supersuper
41,statues,plastic,expensive,decorations,decoration,supersuper
41,statues,platinum,cheap,decor,decoration,supersuper
41,statues,platinum,cheap,decorations,decoration,supersuper
41,statues,platinum,cheap,materials,materials,super
41,statues,platinum,cheap,metals,metal,intermediate
41,statues,platinum,expensive,decorations,decoration,supersuper
41,statues,platinum,expensive,items in the shop,items in the shop,supersuper
